"","agg_type","agg_name","disorder_spectrum_disorders_diagnosis_functioning_persons_dsm_intellectual_disability_high","video_music_show_movie_song_film_ipad_watch_videos_watching","conference_york_university_city_san_event_blogher_center_shannon_guide","fact_believe_important_given_issue_possible_issues_example_clear_question","know_time_see_tell_day_love_girl_way_want_well","science_article_offit_media_news_age_jenny_mccarthy_vaccines_paul","david_kirby_geier_mark_web_kathleen_site_use_geiers_mercury","know_get_time_people_even_see_way_good_well_make","see_research_paper_spectrum_study_colleagues_children_disorder_results_risk","mercury_chelation_lead_fda_poisoning_treatment_drug_levels_exposure_metals","children_child_parents_son_help_parent_kids_family_families_support","back_little_down_got_again_away_room_night_head_came","want_mom_boy_big_school_kids_boys_brother_house_friend","school_education_special_teacher_needs_students_schools_teachers_kids_classroom","years_family_mother_life_day_mom_year_dad_home_friends","water_pool_beach_summer_snow_sun_swimming_cold_winter_ocean","police_mother_story_death_abuse_news_boy_use_murder_case","neurodiversity_speaks_cure_persons_people_dawson_should_ne.eman_article_movement","words_thank_love_miles_post_silly_reading_please_appreciate_serious","study_children_data_prevalence_asd_years_risk_age_increase_studies","dog_today_work_good_kind_going_big_got_thing_job","bill_law_act_government_president_federal_money_states_insurance_million","fluffy_play_game_ball_fun_kids_team_playing_toys_toy","time_day_get_year_home_even_know_well_week_going","food_eat_eating_dinner_milk_diet_chocolate_cream_cup_foods","people_person_disability_world_human_disabled_society_community_word_rights","canada_children_government_treatment_care_services_health_national_canadian_adults","sensory_full_processing_sometimes_issues_problems_spectrum_brain_information_hearing","students_student_college_school_teachers_class_high_test_teaching_teacher","life_know_time_even_get_way_things_want_love_people","research_health_iacc_committee_public_national_asd_speaks_services_spectrum","brain_genetic_cells_research_environmental_genes_gene_studies_found_cell","birthday_party_went_happy_christmas_family_made_home_fun_day","kids_special_down_needs_syndrome_child_kid_baby_therapy_life","blog_post_read_comments_posts_comment_please_writing_write_page","doctor_hospital_pain_medical_medication_doctors_blood_brain_seizure_nurse","words_language_use_skills_social_communication_learning_learn_speech_behavior","house_use_paper_store_box_clean_stuff_bathroom_kitchen_buy","vaccine_vaccines_thimerosal_children_health_public_vaccination_cdc_safety_flu","back_bike_car_home_day_ride_got_went_school_down","care_people_needs_support_help_disabilities_services_family_families_community","made_told_asked_story_questions_information_letter_call_question_read","wakefield_mmr_vaccine_study_paper_andrew_medical_children_research_measles","hair_wear_wearing_white_blue_black_pink_color_red_shoes","book_read_books_reading_story_writing_write_stories_written_wrote","post_name_leave_comment_put_enter_blog_want_giveaway_get","treatment_aba_children_therapy_intervention_study_behavior_research_evidence_treatments","beauty_sleep_night_back_house_little_fiona_went_day_bed","god_love_hope_church_heart_life_believe_thank_world_jesus","joy_kids_got_boy_big_morning_house_during_therapist_potty"
"1","blog","ablogonthespectrum.blogspot.com",0.00161102591270092,0.0161476070276104,0.00932709657671876,0.0274042323944586,0.00542287988922327,0.0020884926804975,0.00148969783869509,0.110844740752244,0.00237482020763649,0.00233933781229904,0.0106866664971304,0.071242689756547,0.0130685536510304,0.00713929100002837,0.0234238873364899,0.0262879841341537,0.0155221028855517,0.00138834976394747,0.00243254640324907,0.00475543737642166,0.00565482773276183,0.00835553871458495,0.00443930746002751,0.0696085099513706,0.0205392263002361,0.00839939654908364,0.00385883157738479,0.00202280298525793,0.00277185478022127,0.0372067090822762,0.00154649452527587,0.00203829323230836,0.0303067744932266,0.00224632511805228,0.0112738914148565,0.0130008144016164,0.00739370685169254,0.0278235082452198,0.00170397336812878,0.00610569555128914,0.0112467679156603,0.0169204003248804,0.0013723678508624,0.0225920022254112,0.0071789824768246,0.000993677633505761,0.00136528227373839,0.302867446623478,0.0115547698050967,0.00261438063903766
"2","blog","adiaryofamom.com",0.00224276836490412,0.00968361450530445,0.00443354390052869,0.0252582499449164,0.351838657004132,0.00118044972162043,0.00032115370657869,0.0494558218725273,0.000420443095089757,0.000261819011107445,0.0129204202158471,0.183853137175518,0.0127594087029328,0.0099342326280253,0.0152547786189954,0.0144470212841644,0.00597908156361618,0.00146048363574491,0.00100724527461284,0.00136796141845677,0.00401916120792452,0.00631394358334623,0.00498290237545265,0.034755759006955,0.00825515603063155,0.022706414920439,0.000756060743213082,0.00120848066799042,0.00259999511994403,0.0728466685920931,0.00314814732719331,0.000569722327153119,0.0214001016786442,0.00167068686562865,0.0223947383303672,0.00467499501830677,0.0157312322037583,0.0122226806928007,0.000435336549811859,0.00262032060729751,0.00925955145901842,0.0089783794291938,0.000237079551986352,0.0151022696143251,0.00540450636893131,0.000934639725388844,0.00110189922433187,0.000513887142213727,0.0100737552175472,0.00100123677348856
"3","blog","adventuresinautism.blogspot.co.uk",0.00562521820686575,0.00776114794057925,0.0298086488724986,0.0662391976303933,0.00435452448587244,0.033497491081711,0.00401952546431344,0.0825883455604459,0.00577943609736629,0.0443289357303952,0.0250961340492035,0.0481834334954493,0.0153549608677552,0.00869197106671105,0.0176705405778461,0.00753304629568968,0.0135616102675899,0.0036536899829358,0.00209546128858148,0.0305543473135496,0.0036093107431917,0.0471245028092115,0.00291815259818303,0.0536821116889462,0.00755320912885397,0.00719953216614316,0.00326753787860127,0.00116509178271066,0.00241721293107644,0.0246164719213348,0.0341621898104331,0.0305832889046023,0.00992166764904273,0.00339063384755881,0.0201729818751487,0.0168023731567268,0.00736681985868843,0.00804775578809604,0.146970134207366,0.0031568817747,0.0157945339101784,0.0437765201340395,0.0115647463795063,0.00368111512149923,0.00496416786358956,0.00184627117308467,0.01080395984662,0.000923749367025874,0.0132468391292924,0.00287257027879572
"4","blog","alyric.blogspot.com",0.0198236828149121,0.00306523128457768,0.00940063198429422,0.228225846383096,0.00517954120085354,0.0319269911217072,0.0344565838467273,0.157314123439659,0.00221142261175638,0.0153032664166115,0.0281735803681725,0.0240921948094088,0.0021366083875057,0.00380616648389983,0.0139189611988468,0.00979906943132262,0.0142579754525427,0.0305183984680783,0.000233146348160287,0.0168295571655037,0.00453317075657746,0.00518603538463247,0.000561100805634082,0.00667307222171887,0.00159553731053783,0.0535350819139966,0.0115130799620577,0.00850256785032873,0.00553153644135371,0.00937949077416875,0.00857348762229982,0.0299652240937892,0.00290868924129892,0.00033124571879694,0.014717562981291,0.00389046919047779,0.0248876585027361,0.00270650461296825,0.0232302018696236,0.000277744120931108,0.0075877949016485,0.015290246185064,0.0210187833613263,0.00151189091549085,0.00973109045815544,5.12133514365142e-05,0.0635087724951824,0.000717774580397107,0.0110192208238249,0.000390772334619422
"5","blog","aspergersquare8.blogspot.com",0.00971927777850913,0.0146274953390326,0.0195259487785136,0.0906400962464025,0.00899561306342019,0.00651900706483802,0.00332057500284347,0.149250733497159,0.00222812301058405,0.00237739792558548,0.0143590943127883,0.0591951677284712,0.0201023277912265,0.0097038942574567,0.0197438689216412,0.0124950962338419,0.0219645786144654,0.0139475605794479,0.00332820948595134,0.00858512899655987,0.0076062731106367,0.00757664207520677,0.00372478482685305,0.0439864328651543,0.00905814439841604,0.079181103953799,0.003851734272856,0.00599811236015338,0.00732731291225694,0.0532784053526212,0.00750271835826295,0.0024420060444459,0.0184060322553351,0.00396136844608396,0.0546290326135246,0.00555773137940213,0.0394600216777619,0.0373194005703659,0.00285437403148401,0.0049796896007792,0.0182169100541943,0.0521695956818801,0.00193177651073641,0.0121034677352966,0.0103178168522036,0.000973622419533075,0.00426886246285806,0.00190496142119026,0.00522912866909093,0.00355334245887921
"6","blog","autism-vicky.blogspot.com",0.0252525317198018,0.0022957229906007,0.00216637771202701,0.0502764552338294,0.00258872962633879,0.00123143600083107,0.00390796648025577,0.334322921226168,0.00100771876731515,0.000625903117810905,0.00843576313324301,0.0736394548273065,0.0141099960815841,0.00932856445335642,0.00448714644067024,0.00744920783043721,0.00127609902496453,0.00100988680475721,0.00125302406817161,0.00188846465618797,0.0018828015234211,0.00174072237193324,0.0027443467045194,0.0435126453317288,0.0121454140745936,0.0442899804250628,0.000944817326347452,0.00207810982385169,0.00121332032619504,0.095131161641181,0.00114660963511252,0.0370223708263949,0.00408437847230038,0.00163950716961625,0.00442055714465694,0.0371942947375521,0.0377565564536768,0.010367974323391,0.0197671891350225,0.00223345014540355,0.00292370846808768,0.0186776367171327,0.000522655730174976,0.0103755632022684,0.0102837392882464,0.0439246042534454,0.00101197259523714,0.000919748495195297,0.00175250102972319,0.00173829243287048
"7","blog","autism.typepad.com",0.00258754298705533,0.0150958446813368,0.00597471207940279,0.0205105037588555,0.00306697257036884,0.00105866033658173,0.000514251776562696,0.0338730022487939,0.000921503520291281,0.000719518210263505,0.00936459818785002,0.0639111044726777,0.00758410073936116,0.0160740020547374,0.0158266646917631,0.0343473322785245,0.00223580470343016,0.00148717856247287,0.00110710697167019,0.00240161261407187,0.00249724544730517,0.00251618462834991,0.00465723708368231,0.0692798255126026,0.0138143656830269,0.00452054158535243,0.00074885563839959,0.00249170500611359,0.00741194204986241,0.0246046120112814,0.00146188179858327,0.00109295520955783,0.00996832715977939,0.00182878790103016,0.00835588572260911,0.00795181804617561,0.026203797890214,0.0187676107893724,0.00121952438650812,0.507552203280821,0.00546941237339751,0.00927186481183786,0.000556127031343854,0.00884549014918892,0.00974783911165476,0.00119053460852565,0.00288686142912371,0.00140361568705925,0.00287507516627238,0.0021458553548974
"8","blog","autismandoughtisms.wordpress.com",0.0249919819745899,0.0042081354837957,0.00122401765181364,0.189494146619971,0.00394742034054117,0.00394086015516989,0.000145617955653589,0.176582601177203,0.00273915771711091,0.000707076754381533,0.105891789424987,0.0637617959513888,0.00898854454475155,0.0310973631401005,0.0098206691626071,0.00213425882580398,0.0136349455220009,0.00115645425864306,0.000584590090452065,0.00655815654524494,0.000954148827027194,0.0102645857547662,0.00433614158790037,0.0499529806792846,0.00206236692284401,0.0508075290527463,0.00240348637496179,0.00283274597596273,0.00276075235788302,0.0540253941390091,0.000855993973291312,0.000701820655978746,0.00574636397106788,0.00129766107745098,0.0314047238442601,0.00608334236198052,0.0345152173147942,0.00453415252658273,0.00214503941351957,0.00532431085915172,0.0291806809576287,0.0209045794040179,0.000946950118691687,0.00328969234310181,0.00743846603707605,0.000637701169990083,0.00759254360205183,0.00430979294647455,0.000631041416267228,0.000450211038026796
"9","blog","autismblogsdirectory.blogspot.com",0.0107966580133884,0.0275774523570824,0.0338240922283039,0.0647664227604534,0.00704846588860507,0.00522563676621846,0.000880221803880674,0.100491175034751,0.00161497776102005,0.00141069159386652,0.0494166819947081,0.0603660114800457,0.0183622121077759,0.0157313013246966,0.0190788029593479,0.00641760490195867,0.0199242538712794,0.00530090706785383,0.00160694768284922,0.00777364388582532,0.0038640625197796,0.00434343235515712,0.00393422131225166,0.0662747130717021,0.00661537475048393,0.0468374805693698,0.0013500731838269,0.00781431235796151,0.0107672404802797,0.0695595455713279,0.0303939789803988,0.00200829233135295,0.0105484974413881,0.00453244162576256,0.109474542132249,0.00799685293489312,0.0239241341212489,0.00892446041145318,0.00188280018006693,0.00227791286595339,0.0378714612214738,0.0200079825201849,0.000394665790433909,0.00637083040626102,0.024393105794304,0.0141707372740921,0.00760617968661116,0.0025240002662928,0.00401389514371946,0.0017086112158095
"10","blog","autismcrisis.blogspot.com",0.0416876129297614,0.00237102731209551,0.0149338860911516,0.176450302155017,0.00174433482278899,0.00397834081809618,0.000815681366353985,0.073370424558828,0.00760223300125429,8.50480338080486e-05,0.0100608993095153,0.0257967809720257,0.0026707807996689,0.00306727344242154,0.00706778338835737,0.00259064117462874,0.0221826835008311,0.0323755224795038,0.000365256017212537,0.0747868802812409,0.000660739876020794,0.0152503805146622,0.00171047698705614,0.0283159730080851,0.001363816840655,0.0622744978172912,0.0755021524273403,0.00787132241346938,0.00856691941580243,0.013018031506905,0.0129882857684357,0.00908441113394076,0.00170971505832662,0.0018398158527275,0.00455606465477977,0.00390532852993576,0.0212532843029494,0.00316601902394729,0.00326014394245208,0.00104155116344312,0.00179781995690531,0.023930004166128,0.00378381182337818,0.00261342195688816,0.00718161104400005,0.000149818465435333,0.175197788071733,0.0029319259218609,0.000756355386162776,0.000315120514722017
